,Token Name,File Name,ape,background,eyes,glasses,jewelry,headwear,mouth,outfit
1,ArtsyApe 1,artsyape-1.jpeg,Robin,Gold Flakes,Orange And Blue,3D,Cross Necklace,Clown Wig,Ganja,Blue Jacket
2,ArtsyApe 2,artsyape-2.jpeg,Lou,Deep Green,Blue And Orange,Heart Sunglasses,None,Visor Cap,Nothing,Rainbow Pin Suit & Tie
3,ArtsyApe 3,artsyape-3.jpeg,Albert,Mountains,Yellow And Blue,Deal With It,Golden Earring,None,Ganja,Stebo Sweater
4,ArtsyApe 4,artsyape-4.jpeg,Albert,Bright Sky,Green And Orange,None,None,Beer Helmet,Nothing,Joker Suit
5,ArtsyApe 5,artsyape-5.jpeg,Juanita,Abstract White_Blue,Orange And Blue,Clear Lenses Round,Golden Nose Ring,Jägermeister Antlers,Nothing,Dappimg Tee
6,ArtsyApe 6,artsyape-6.jpeg,Jeff,Gold Flakes,Blue And Orange,Orange Shades,Double Ear Piercing,None,Party Whistle,ApeCoin Tee
7,ArtsyApe 7,artsyape-7.jpeg,Gordo,Bright Sky,Yellow And Blue,None,None,Chef's Hat,Nothing,Colorbomb Tee
8,ArtsyApe 8,artsyape-8.jpeg,Robin,Abstract Red_Blue,Blue And Orange,None,Cross Necklace,Orange Beanie,Lollipop,None
9,ArtsyApe 9,artsyape-9.jpeg,Whitney,Red & Green Aura,Yellow And Blue,None,Cross Earring,None,Nothing,Stebo Sweater
10,ArtsyApe 10,artsyape-10.jpeg,Turned,Bright Sky,Loose,Orange Shades,Silver Necklace,Captain's Hat,Lollipop,Thorchain Hoodie
11,ArtsyApe 11,artsyape-11.jpeg,Jeff,Mountains,Blue And Orange,None,Golden Earring,Reverse Hat,Nothing,Jägermeister Urban Hoodie
12,ArtsyApe 12,artsyape-12.jpeg,Ham,Ones & Zeros,Grey And Yellow,None,None,ArtsyApes Cap,Nothing,Catchphrase Ripped Tee
13,ArtsyApe 13,artsyape-13.jpeg,Lou,Matrix,Orange And Blue,None,Double Ear Piercing,Jägermeister Cap,Pizza,Hazmat Suit
14,ArtsyApe 14,artsyape-14.jpeg,Whitney,Abstract Red_Blue,Green And Orange,Deal With It,Golden Earring,None,Nothing,"3,3 Tee"
15,ArtsyApe 15,artsyape-15.jpeg,Lou,Ones & Zeros,Green And Orange,Flower Power,Silver Necklace,None,Ganja,ArtsyApes Tee
16,ArtsyApe 16,artsyape-16.jpeg,Ham,Bright Sky,Brown And Orange,3D,None,Orange Beanie,Lollipop,Ripped Yellow Longsleeve
17,ArtsyApe 17,artsyape-17.jpeg,Jeff,Sprayed Wall,Green And Orange,None,None,None,Cigar,Luna Tee
18,ArtsyApe 18,artsyape-18.jpeg,Whitney,Mountains,Blue And Orange,3D,None,None,Nothing,Guy Fieri Flame Shirt
19,ArtsyApe 19,artsyape-19.jpeg,Robin,Stebo Tag Wall,Blue And Orange,Flower Power,None,None,Nothing,White Shirt & Blue Tie
20,ArtsyApe 20,artsyape-20.jpeg,Jeff,Gold Flakes,Grey And Yellow,None,Golden Nose Ring,None,Nothing,Anarchy Jacket
